Date,result,location,Opp
1970-09-19,W,@,New York Giants
1970-09-27,W,,Philadelphia Eagles
1970-10-05,L,@,Detroit Lions
1970-10-11,L,,Minnesota Vikings
1970-10-18,L,,San Diego Chargers
1970-11-01,W,@,Atlanta Falcons
1970-11-08,L,,San Francisco 49ers
1970-11-15,L,@,Green Bay Packers
1970-11-22,W,,Buffalo Bills
1970-11-29,L,@,Baltimore Colts
1970-12-05,L,@,Minnesota Vikings
1970-12-13,W,,Green Bay Packers
1970-12-20,W,@,New Orleans Saints
1971-09-19,W,,Pittsburgh Steelers
1971-09-26,W,@,Minnesota Vikings
1971-10-03,L,@,Los Angeles Rams
1971-10-10,W,,New Orleans Saints
1971-10-17,L,@,San Francisco 49ers
1971-10-24,W,@,Detroit Lions
1971-10-31,W,,Dallas Cowboys
1971-11-07,L,,Green Bay Packers
1971-11-14,W,,Washington Redskins
1971-11-21,L,,Detroit Lions
1971-11-29,L,@,Miami Dolphins
1971-12-05,L,@,Denver Broncos
1971-12-12,L,@,Green Bay Packers
1971-12-19,L,,Minnesota Vikings
1972-09-17,L,,Atlanta Falcons
1972-09-24,T,,Los Angeles Rams
1972-10-01,L,,Detroit Lions
1972-10-08,L,@,Green Bay Packers
1972-10-15,W,@,Cleveland Browns
1972-10-23,W,,Minnesota Vikings
1972-10-29,W,@,St. Louis Cardinals
1972-11-05,L,@,Detroit Lions
1972-11-12,L,,Green Bay Packers
1972-11-19,L,,San Francisco 49ers
1972-11-26,L,,Cincinnati Bengals
1972-12-03,L,@,Minnesota Vikings
1972-12-10,W,@,Philadelphia Eagles
1972-12-17,L,@,Oakland Raiders
1973-09-16,L,,Dallas Cowboys
1973-09-23,L,,Minnesota Vikings
1973-09-30,W,@,Denver Broncos
1973-10-07,L,@,New Orleans Saints
1973-10-14,L,@,Atlanta Falcons
1973-10-21,L,,New England Patriots
1973-10-28,W,,Houston Oilers
1973-11-04,W,@,Green Bay Packers
1973-11-12,L,@,Kansas City Chiefs
1973-11-18,L,,Detroit Lions
1973-11-25,L,@,Minnesota Vikings
1973-12-02,L,,Los Angeles Rams
1973-12-09,L,@,Detroit Lions
1973-12-16,L,,Green Bay Packers
1974-09-15,W,,Detroit Lions
1974-09-22,L,,New York Jets
1974-09-29,L,@,Minnesota Vikings
1974-10-06,W,,New Orleans Saints
1974-10-13,L,@,Atlanta Falcons
1974-10-21,W,,Green Bay Packers
1974-10-27,L,@,Buffalo Bills
1974-11-03,L,,Minnesota Vikings
1974-11-10,L,@,Green Bay Packers
1974-11-17,L,,San Francisco 49ers
1974-11-24,L,@,Detroit Lions
1974-12-01,W,,New York Giants
1974-12-08,L,@,San Diego Chargers
1974-12-15,L,@,Washington Redskins
1975-09-21,L,,Baltimore Colts
1975-09-28,W,,Philadelphia Eagles
