date,OPF,OYds,OTO,OFL,O1stD,OAtt,OPYds,OTD,OInt,ONY/A,ORAtt,ORYds,ORTD,ORY/A,DPF,DYds,DTO,DFL,D1stD,DAtt,DPYds,DTD,DInt,DNY/A,DRAtt,DRYds,DRTD,DRY/A
1970-01-01,4,3,13,10,14,13,9,13,10,7,19,6,1,1,5,10,11,17,22,16,7,11,12,5,21,16,9,12
1971-01-01,20,14,23,22,17,10,5,14,18,10,19,21,21,21,15,20,16,10,22,19,21,8,18,16,19,18,8,13
1972-01-01,23,25,24,16,26,15,18,20,19,18,25,26,22,26,18,25,19,8,25,19,25,12,23,22,25,20,7,11
1973-01-01,11,12,8,8,11,5,5,9,10,12,25,22,12,13,23,26,24,13,26,26,26,25,26,26,14,17,19,18
1974-01-01,9,10,1,2,11,8,7,4,1,12,16,13,16,5,8,17,22,24,18,23,19,4,19,12,9,15,12,19
1975-01-01,7,5,17,19,7,18,6,6,15,1,8,6,7,3,11,18,13,16,21,26,24,12,10,16,11,10,15,11
1976-01-01,8,3,20,26,1,7,5,7,5,3,4,8,8,18,16,12,9,9,11,7,15,9,12,19,10,12,22,17
1977-01-01,11,7,17,16,10,12,2,14,13,1,16,12,4,10,23,24,19,20,21,21,26,27,17,22,11,22,10,26
1978-01-01,23,7,7,6,13,2,4,14,12,11,18,25,19,26,15,13,13,18,16,12,7,18,10,9,18,19,11,20
1979-01-01,17,10,25,24,12,9,20,27,20,24,11,3,4,2,21,16,17,7,15,20,16,20,20,12,22,14,15,10
1980-01-01,19,22,12,8,23,17,25,22,13,26,13,9,5,6,21,19,16,13,17,23,20,17,18,12,19,16,17,9
1981-01-01,18,19,20,17,20,19,22,24,20,23,14,9,6,6,27,23,15,14,24,10,16,26,13,20,14,25,23,27
1982-01-01,25,23,2,14,20,26,26,27,1,25,7,7,10,10,12,14,26,14,11,19,17,25,26,15,8,12,2,16
1983-01-01,9,17,24,27,20,20,24,5,10,19,11,7,17,8,25,6,4,6,4,20,14,20,3,4,5,8,25,14
1984-01-01,4,3,12,25,4,7,3,5,6,3,16,9,2,7,17,8,18,20,6,10,9,22,10,13,5,14,8,22
1985-01-01,27,17,6,11,15,9,18,18,7,24,26,15,17,2,24,15,27,19,16,1,8,28,28,17,25,24,8,21
1986-01-01,28,26,5,2,25,16,22,20,10,27,25,14,25,7,21,4,27,22,16,1,1,11,27,9,27,25,21,20
1987-01-01,7,6,2,4,4,3,6,8,4,12,20,15,9,11,23,25,17,8,23,17,25,27,23,24,19,19,20,18
1988-01-01,11,4,19,16,3,6,5,5,14,10,16,13,12,6,27,14,24,18,13,15,12,27,19,15,12,16,21,20
1989-01-01,25,25,27,10,24,11,15,18,28,20,22,26,23,27,20,26,24,24,24,20,22,21,21,17,26,27,12,24
