date,OPF,OYds,OTO,OFL,O1stD,OAtt,OPYds,OTD,OInt,ONY/A,ORAtt,ORYds,ORTD,ORY/A,DPF,DYds,DTO,DFL,D1stD,DAtt,DPYds,DTD,DInt,DNY/A,DRAtt,DRYds,DRTD,DRY/A
1970-01-01,22,23,17,22,21,20,23,9,13,23,17,15,24,15,10,11,11,5,7,6,8,3,14,17,22,15,18,9
1971-01-01,13,15,14,11,15,24,11,9,13,1,7,16,12,23,13,8,12,6,17,9,1,1,15,2,24,21,23,18
1972-01-01,16,16,15,22,17,22,20,16,8,12,9,9,11,10,14,7,12,10,7,1,2,7,15,8,19,17,20,14
1973-01-01,7,15,13,22,9,16,12,13,3,13,9,10,2,15,9,6,7,16,8,7,3,5,3,2,20,18,13,15
1974-01-01,26,26,26,26,26,19,26,26,26,26,25,21,26,17,16,15,18,17,14,1,2,8,16,5,26,26,22,18
1975-01-01,19,20,23,19,22,12,19,12,23,19,18,19,19,17,15,22,13,21,22,25,21,12,6,11,23,21,6,12
1976-01-01,24,27,23,13,27,20,28,21,25,27,23,25,21,25,22,20,12,9,16,6,11,14,15,15,25,25,25,24
1977-01-01,25,25,2,2,25,27,27,24,6,25,5,17,21,26,1,2,2,4,1,7,1,2,3,2,9,11,1,13
1978-01-01,26,26,17,15,24,8,16,24,18,25,23,27,21,27,14,5,20,2,8,23,9,4,28,4,16,8,24,3
1979-01-01,19,17,22,22,13,11,15,12,16,23,19,16,18,5,26,25,20,5,18,22,26,9,24,27,20,13,28,11
1980-01-01,5,3,1,3,3,18,9,1,5,8,8,5,14,4,5,16,7,11,11,28,25,20,6,13,1,3,1,10
1981-01-01,2,7,15,9,9,4,5,2,20,12,17,18,14,19,18,14,7,5,14,26,25,27,8,19,1,2,2,5
1982-01-01,14,9,11,14,4,16,18,19,9,14,6,9,6,13,21,14,7,1,15,13,13,17,23,19,6,17,26,23
1983-01-01,10,8,3,15,9,12,11,13,1,13,18,11,10,3,23,25,26,21,25,12,20,24,25,26,11,22,22,27
1984-01-01,22,19,22,28,21,22,20,24,12,19,14,15,12,13,22,15,20,6,18,3,7,23,27,23,22,21,18,17
1985-01-01,26,20,3,3,17,23,27,26,8,28,6,3,17,7,28,25,21,25,20,21,27,27,12,24,6,17,26,26
1986-01-01,21,17,11,13,12,25,25,24,7,22,2,3,18,6,6,7,14,17,2,3,7,9,10,22,15,16,4,18
1987-01-01,28,28,28,14,28,10,22,20,28,27,28,28,27,18,28,28,25,22,28,5,18,24,22,28,28,28,28,27
1988-01-01,25,25,22,24,26,19,25,23,14,26,17,14,19,7,11,25,7,16,19,13,21,7,4,21,23,25,10,25
1989-01-01,22,24,1,3,25,5,9,18,2,21,28,28,20,22,28,28,21,21,26,1,19,11,18,27,28,28,28,25
1990-01-01,10,10,24,25,17,8,6,12,13,12,19,21,18,23,21,19,5,5,19,26,28,27,14,26,9,3,10,1
1991-01-01,5,8,19,11,21,15,6,2,22,6,18,16,26,11,20,24,10,11,10,9,20,28,7,23,21,23,16,21
1992-01-01,11,10,9,14,16,3,4,1,6,10,28,27,28,16,28,28,27,18,24,2,22,25,28,27,20,28,27,28
1993-01-01,12,11,27,21,15,4,6,2,26,13,27,23,26,10,28,25,22,20,9,14,25,28,19,28,8,15,21,23
1994-01-01,15,7,24,11,13,3,5,4,26,7,28,28,22,12,24,27,8,19,25,23,27,25,4,26,9,14,23,24
1995-01-01,11,10,1,2,11,6,6,10,5,8,30,27,25,10,19,29,15,19,27,30,30,25,11,28,6,9,11,11
1996-01-01,19,17,28,8,19,4,9,5,29,16,30,27,19,5,30,29,26,2,20,4,27,25,30,30,20,26,25,28
1997-01-01,18,23,13,16,21,24,22,5,6,15,18,19,26,21,21,20,15,25,6,8,20,22,8,26,4,8,27,19
1998-01-01,4,7,8,9,6,30,11,6,11,2,4,6,6,11,4,8,1,1,7,23,21,15,10,19,2,2,2,2
1999-01-01,23,27,23,24,23,25,17,11,20,14,28,30,20,29,25,16,31,30,15,2,9,11,26,27,28,29,29,27
2000-01-01,27,30,23,20,25,18,24,25,24,28,29,28,29,27,26,25,20,22,19,10,24,17,21,30,21,27,24,24
2001-01-01,23,15,13,10,21,23,17,15,15,12,16,16,23,16,24,30,14,14,21,13,30,28,13,31,5,21,20,30
2002-01-01,5,14,11,22,13,25,23,24,7,10,2,4,4,9,8,19,2,8,10,8,16,18,3,17,17,23,6,28
2003-01-01,20,29,20,10,30,28,31,28,26,30,19,14,7,8,30,32,11,3,31,13,32,30,14,31,27,29,30,27
2004-01-01,16,20,22,25,19,31,30,28,14,24,5,1,3,1,14,14,11,9,20,19,22,11,9,19,12,8,29,10
2005-01-01,14,12,19,28,11,27,27,19,7,25,3,1,8,1,18,22,14,10,25,19,14,9,14,8,16,26,25,31
2006-01-01,25,12,5,1,20,32,32,13,14,29,1,1,23,1,15,22,21,8,23,17,29,14,25,31,12,9,17,6
2007-01-01,29,23,7,8,30,14,18,20,11,24,29,26,28,20,29,29,17,13,28,14,23,26,17,26,26,26,17,22
2008-01-01,10,6,8,13,9,29,14,22,5,3,2,2,3,9,11,24,28,20,21,25,21,14,27,14,11,25,23,28
2009-01-01,13,16,12,5,10,7,14,13,17,17,11,15,14,18,14,21,12,6,17,19,28,20,16,25,16,10,7,8
2010-01-01,5,16,3,6,4,8,15,8,4,19,5,12,9,26,5,16,7,20,10,23,22,13,4,18,2,10,8,27
2011-01-01,7,10,7,10,6,4,8,6,8,13,11,17,12,21,18,12,10,14,11,21,20,20,10,19,3,6,6,15
2012-01-01,7,8,7,1,6,8,6,5,12,4,26,29,13,29,5,24,5,13,9,14,23,1,5,22,10,21,24,29
2013-01-01,20,14,21,25,9,3,7,11,19,17,32,32,21,24,27,27,24,11,16,5,21,29,29,32,26,31,18,31
2014-01-01,12,8,13,9,13,3,5,11,16,7,27,24,17,21,27,32,6,6,32,23,32,5,12,32,24,21,32,16
2015-01-01,21,7,26,28,3,8,6,23,24,10,16,19,12,25,14,16,16,22,24,15,18,3,10,22,15,14,31,15
2016-01-01,1,2,1,2,2,26,3,2,4,1,12,5,3,5,27,25,16,9,29,32,28,28,18,12,5,17,18,26
2017-01-01,15,8,9,7,9,20,8,20,11,3,16,13,15,8,8,9,27,18,21,16,12,12,29,10,7,9,6,19
2018-01-01,10,6,7,25,10,5,4,3,2,7,30,27,23,13,25,28,20,31,30,26,27,29,9,24,14,25,21,28
2019-01-01,13,5,23,19,2,1,3,8,21,14,29,30,24,26,23,20,19,21,18,8,22,23,17,26,19,15,14,16
2020-01-01,16,18,9,11,9,4,5,13,9,17,20,27,22,31,19,29,18,12,25,30,32,27,14,29,2,6,13,14
2021-01-01,26,29,25,27,28,19,16,25,21,18,29,31,27,30,29,26,19,11,28,14,18,26,20,25,30,27,26,17
2022-01-01,15,24,8,27,21,31,31,24,3,18,1,3,10,4,23,27,27,23,25,16,25,23,24,29,28,23,17,18
2023-01-01,24,15,24,29,13,23,21,24,13,19,4,7,12,14,18,8,23,17,6,11,10,28,27,11,20,14,4,12
