date,OPF,OYds,OTO,OFL,O1stD,OAtt,OPYds,OTD,OInt,ONY/A,ORAtt,ORYds,ORTD,ORY/A,DPF,DYds,DTO,DFL,D1stD,DAtt,DPYds,DTD,DInt,DNY/A,DRAtt,DRYds,DRTD,DRY/A
1996-01-01,6,3,21,14,2,6,2,2,20,4,24,14,16,7,28,30,28,30,29,17,30,26,20,29,25,23,25,15
1997-01-01,16,9,23,26,17,5,5,8,16,11,24,22,27,19,18,25,15,21,23,25,28,11,11,23,19,10,25,5
1998-01-01,26,26,16,21,30,25,25,23,11,21,23,20,25,15,16,22,22,30,17,19,24,10,16,23,16,17,14,6
1999-01-01,14,24,13,11,27,13,25,15,22,28,15,16,20,10,6,2,14,21,5,30,6,11,9,1,5,2,2,2
2000-01-01,14,16,9,1,18,20,22,15,20,24,5,5,24,8,1,2,1,1,2,13,8,2,5,7,3,1,1,1
2001-01-01,18,14,25,27,8,7,16,17,20,20,5,11,14,25,4,2,16,14,3,25,8,7,17,2,9,4,11,3
2002-01-01,23,26,22,27,27,25,27,19,9,25,18,16,26,14,19,22,8,32,23,26,26,4,2,20,22,13,23,2
2003-01-01,8,21,30,31,27,32,32,26,21,27,1,1,5,3,6,3,2,2,3,25,4,13,4,1,14,6,1,3
2004-01-01,20,31,9,20,30,26,31,30,3,31,8,9,17,15,6,6,7,9,6,12,10,1,6,9,20,8,8,2
2005-01-01,25,24,28,26,19,8,22,23,27,27,16,21,30,27,10,5,21,5,10,18,8,9,25,2,13,9,3,8
2006-01-01,12,17,6,6,22,13,11,13,11,8,11,25,22,31,1,1,2,14,1,13,6,5,1,2,2,2,1,2
2007-01-01,24,22,32,32,20,13,23,28,6,29,13,16,18,17,22,6,26,31,2,6,20,26,14,30,17,2,7,1
2008-01-01,11,18,8,11,14,30,28,22,9,17,1,4,5,22,3,2,1,20,1,21,2,7,1,3,1,3,1,5
2009-01-01,9,13,5,7,13,25,18,16,7,13,7,5,1,4,3,3,7,17,7,14,8,7,5,14,17,5,6,1
2010-01-01,16,22,7,13,18,24,20,15,6,13,6,14,18,28,3,10,15,24,10,30,21,9,8,7,3,5,1,8
2011-01-01,12,15,16,24,15,18,19,13,5,19,8,10,10,12,3,3,13,7,4,15,4,1,17,3,13,2,6,2
2012-01-01,10,16,2,3,15,15,15,18,6,15,12,11,6,12,12,17,14,8,21,16,17,2,19,16,29,20,23,8
2013-01-01,25,29,22,2,24,8,18,25,31,30,18,30,28,32,12,12,19,23,6,15,12,14,15,16,16,11,5,5
2014-01-01,8,12,6,9,10,17,13,12,8,12,11,8,5,7,6,8,22,10,14,29,23,6,25,12,5,4,5,3
2015-01-01,25,14,22,2,16,1,8,23,29,22,25,26,21,24,24,8,30,22,12,10,10,22,32,16,17,12,10,10
2016-01-01,21,17,17,7,21,1,12,21,22,26,30,28,22,21,9,7,4,9,3,17,9,24,1,10,8,5,5,5
2017-01-01,9,27,7,2,15,11,29,23,16,32,7,11,10,19,6,12,1,4,9,26,10,5,1,4,19,15,16,16
2018-01-01,13,9,16,25,7,16,22,26,6,23,1,2,3,15,2,1,22,28,2,23,5,3,18,2,3,4,6,3
2019-01-01,1,2,3,5,1,32,27,1,5,10,1,1,2,1,3,4,7,6,2,12,6,2,12,6,1,5,9,21
2020-01-01,7,19,9,11,24,32,32,13,9,21,1,1,3,1,2,7,10,3,16,27,6,5,23,4,3,8,4,22
2021-01-01,17,6,25,14,5,9,13,20,27,19,3,3,9,5,19,25,29,26,16,26,32,26,26,31,3,1,7,3
2022-01-01,19,16,8,7,19,28,28,19,15,21,7,2,20,3,3,9,9,5,11,21,26,5,12,17,3,3,8,3
2023-01-01,5,9,14,27,8,31,19,19,3,7,2,1,1,2,3,2,17,21,3,25,4,1,11,1,8,12,3,21
