date,OPF,OYds,OTO,OFL,O1stD,OAtt,OPYds,OTD,OInt,ONY/A,ORAtt,ORYds,ORTD,ORY/A,DPF,DYds,DTO,DFL,D1stD,DAtt,DPYds,DTD,DInt,DNY/A,DRAtt,DRYds,DRTD,DRY/A
1970-01-01,23,17,26,26,20,10,12,17,23,17,24,21,21,11,23,8,23,12,8,3,5,8,23,14,24,14,22,8
1971-01-01,26,25,25,14,26,6,18,19,25,25,26,24,24,11,26,25,26,22,23,1,11,23,26,25,26,26,24,21
1972-01-01,19,18,24,14,20,20,24,12,23,25,7,6,18,11,24,17,15,25,19,2,7,20,7,16,22,22,25,17
1973-01-01,15,10,4,6,16,26,26,26,8,24,2,1,1,1,10,14,12,3,14,19,17,9,21,16,5,7,10,10
1974-01-01,12,23,7,14,20,26,25,12,7,15,5,9,18,14,12,5,16,19,7,3,3,4,12,4,16,14,22,13
1975-01-01,1,1,8,10,1,19,8,1,13,4,3,1,3,1,21,24,1,5,24,24,26,23,6,24,9,14,21,20
1976-01-01,20,12,24,28,15,10,18,14,13,22,9,3,19,2,24,23,7,4,20,5,20,20,12,23,18,23,22,26
1977-01-01,26,8,22,24,13,1,1,18,22,16,27,18,28,8,25,23,15,20,22,5,16,24,11,27,25,25,25,22
1978-01-01,11,20,4,10,16,18,20,7,4,16,17,10,17,6,24,24,28,18,24,1,1,20,27,18,28,28,27,28
1979-01-01,23,21,6,20,25,14,9,25,3,7,27,28,26,27,8,14,10,12,9,1,6,4,8,23,25,24,15,16
1980-01-01,12,18,20,27,10,21,23,15,8,18,2,8,10,25,3,1,5,3,1,2,2,2,11,3,11,9,13,7
1981-01-01,20,8,9,14,13,13,9,7,9,5,13,13,17,15,6,7,17,14,11,6,4,12,16,6,15,17,1,14
1982-01-01,19,11,23,10,6,18,20,23,26,17,4,1,12,3,6,2,17,18,3,7,2,3,10,2,12,16,7,15
1983-01-01,23,25,17,5,16,4,18,4,22,28,26,24,28,11,18,24,24,10,23,7,18,15,27,23,24,24,12,23
1984-01-01,25,27,27,8,26,5,25,20,27,28,27,26,26,11,27,23,11,5,27,11,19,27,22,25,21,19,23,16
1985-01-01,28,25,28,24,27,11,21,28,28,23,27,24,20,16,20,17,18,17,18,4,11,21,16,18,27,26,22,22
1986-01-01,20,19,19,24,18,19,15,9,10,11,25,21,23,13,20,24,28,28,23,24,27,11,27,23,10,9,23,8
1987-01-01,24,16,25,27,12,7,18,15,15,24,17,17,23,16,12,12,20,16,19,4,9,20,17,14,27,22,11,11
1988-01-01,14,12,10,16,11,23,15,20,7,6,6,7,12,12,3,4,19,7,12,3,4,6,23,7,13,12,10,11
1989-01-01,3,5,21,27,6,21,8,2,15,4,5,3,10,7,14,11,15,18,14,13,10,2,7,10,18,14,16,12
1990-01-01,1,6,3,4,8,24,10,3,4,3,9,7,2,7,6,8,5,10,18,6,7,6,12,9,21,15,16,6
1991-01-01,2,1,18,18,1,5,4,1,18,3,5,1,7,3,19,27,7,14,28,24,21,1,4,16,27,24,24,15
1992-01-01,3,2,22,20,1,8,6,5,18,7,1,1,6,5,14,12,8,18,16,27,20,13,5,12,9,2,6,1
1993-01-01,7,6,23,21,5,18,11,9,15,8,2,8,10,23,5,27,1,1,26,26,24,14,4,18,23,21,5,14
1994-01-01,11,10,21,15,8,12,10,8,24,20,7,8,7,11,22,17,18,14,13,13,23,25,18,25,15,8,8,3
1995-01-01,13,20,8,9,15,25,21,13,8,17,1,6,19,18,12,13,21,23,5,22,16,1,12,7,20,11,25,7
1996-01-01,15,16,26,14,17,25,17,20,28,11,1,8,10,27,6,9,18,7,8,26,8,2,21,3,23,14,14,1
1997-01-01,29,25,28,26,25,11,25,26,29,30,23,14,16,9,23,9,26,28,3,9,12,8,15,11,23,15,10,6
1998-01-01,7,6,3,3,6,28,12,6,8,7,1,3,11,12,15,6,11,11,12,18,14,25,15,11,3,5,11,15
1999-01-01,16,11,9,11,8,24,19,15,11,11,2,8,15,19,2,1,28,25,2,7,1,2,26,3,9,4,10,3
2000-01-01,20,9,17,12,14,11,15,1,14,12,13,21,18,18,3,13,3,6,4,11,18,10,19,6,16,4
2001-01-01,27,13,19,16,19,7,12,17,20,17,26,22,23,12,29,21,30,28,25,2,13,20,29,25,27,26,29,24
2002-01-01,11,11,19,25,3,3,5,11,12,14,29,24,9,19,27,15,32,25,17,4,6,22,26,15,23,29,31,24
2003-01-01,30,30,27,29,24,22,28,31,15,31,20,21,16,23,5,2,32,27,5,13,2,9,30,3,23,8,10,5
2004-01-01,7,25,18,20,25,27,27,16,17,23,9,13,8,24,8,2,1,5,4,7,3,13,2,1,17,7,2,3
2005-01-01,24,28,13,10,26,26,29,20,17,29,20,20,29,23,24,29,11,10,31,13,19,14,10,22,25,31,30,29
2006-01-01,23,30,19,25,32,31,28,17,11,21,25,27,23,28,10,18,25,17,16,16,7,9,24,6,23,28,17,29
2007-01-01,30,30,4,5,30,30,30,29,6,21,12,15,25,18,18,31,11,13,29,24,29,8,10,24,20,25,25,28
2008-01-01,23,25,24,30,21,24,22,26,16,22,13,14,11,16,14,14,20,10,12,10,13,4,27,20,22,22,24,21
