date,OPF,OYds,OTO,OFL,O1stD,OAtt,OPYds,OTD,OInt,ONY/A,ORAtt,ORYds,ORTD,ORY/A,DPF,DYds,DTO,DFL,D1stD,DAtt,DPYds,DTD,DInt,DNY/A,DRAtt,DRYds,DRTD,DRY/A
1995-01-01,25,26,28,22,30,18,24,25,30,24,15,20,19,30,8,7,5,8,6,23,14,4,6,6,18,10,26,4
1996-01-01,7,23,7,20,19,23,22,12,1,15,4,15,19,24,2,10,5,4,2,22,12,6,7,5,2,8,4,26
1997-01-01,27,26,26,22,20,14,26,21,28,29,19,15,18,14,13,15,26,21,16,5,9,8,27,14,25,22,12,17
1998-01-01,12,20,27,27,27,18,14,9,18,14,24,28,16,25,27,30,7,7,25,12,28,30,10,29,24,26,23,25
1999-01-01,4,6,21,28,11,6,2,2,7,5,29,20,15,5,26,26,19,11,30,18,23,27,20,22,22,24,21,25
2000-01-01,21,20,24,25,15,10,12,17,20,19,27,29,26,29,12,27,6,2,17,22,26,13,13,26,14,26,12,28
2001-01-01,29,30,23,16,31,4,26,30,24,31,30,29,23,22,28,31,7,14,27,10,28,24,3,29,31,31,20,23
2002-01-01,30,31,29,27,30,29,30,30,25,27,13,25,21,31,5,2,7,7,3,11,4,7,15,4,19,8,6,1
2003-01-01,15,16,20,25,19,28,18,16,12,9,3,7,24,17,10,8,18,23,8,20,9,13,12,8,9,11,6,12
2004-01-01,13,13,12,14,12,11,9,5,13,12,22,28,19,28,15,20,2,13,17,16,18,7,1,21,21,17,28,12
2005-01-01,8,22,13,10,23,28,17,5,17,6,10,19,8,29,5,3,2,2,5,21,9,2,4,4,6,4,4,4
2006-01-01,27,24,16,10,25,10,15,17,17,20,24,24,28,19,8,7,28,28,6,9,4,20,22,9,16,11,7,9
2007-01-01,26,29,14,14,28,24,29,17,17,30,9,14,28,15,15,16,11,5,18,16,17,15,23,16,25,18,21,4
2008-01-01,7,10,6,5,21,32,19,24,9,4,6,3,1,2,12,18,15,8,15,27,16,10,21,6,15,20,15,23
2009-01-01,21,19,22,17,20,29,27,24,27,22,2,3,10,3,9,8,4,1,12,5,4,2,5,9,21,22,19,22
2010-01-01,32,32,29,28,32,26,32,32,25,32,15,13,31,12,26,18,11,10,26,12,11,6,11,17,28,23,31,10
2011-01-01,5,7,11,5,8,23,13,13,21,10,14,3,1,1,27,28,17,14,23,6,24,25,20,32,21,25,29,25
2012-01-01,18,12,10,17,12,26,16,24,8,5,11,9,3,9,18,10,18,8,21,15,13,13,23,12,12,14,12,18
2013-01-01,18,26,4,2,15,30,29,15,13,20,7,11,13,16,2,2,6,15,2,17,6,3,5,5,1,2,1,12
2014-01-01,19,16,13,19,9,19,19,15,8,22,8,7,21,13,21,10,10,6,9,20,11,15,14,10,9,16,21,27
2015-01-01,1,11,8,15,4,27,24,3,8,9,1,2,1,10,6,6,1,2,6,32,11,7,1,2,3,4,17,7
2016-01-01,15,19,27,23,20,20,21,19,28,20,7,10,10,20,26,21,7,9,19,28,29,20,4,20,6,6,10,9
2017-01-01,12,19,14,7,12,27,28,18,25,19,3,4,7,10,11,7,16,7,6,15,18,22,24,17,2,3,3,11
2018-01-01,14,10,19,4,9,15,16,14,25,16,12,4,6,1,19,15,14,12,11,9,18,27,15,26,8,12,15,23
2019-01-01,20,19,31,28,15,2,20,31,30,31,24,14,4,6,31,23,17,24,29,12,13,8,8,14,25,29,32,32
2020-01-01,24,21,17,2,21,22,18,28,26,12,21,21,10,22,18,18,10,1,22,25,18,16,30,12,9,20,18,28
2021-01-01,29,30,29,14,25,14,29,31,32,32,14,20,13,23,21,2,26,20,4,2,4,13,26,6,21,18,18,8
2022-01-01,20,29,8,7,29,29,29,28,15,17,12,10,11,14,19,22,27,23,22,19,22,19,24,21,23,18,21,12
2023-01-01,29,30,13,12,17,2,26,20,16,31,28,27,31,26,30,7,31,31,16,3,6,13,24,12,28,26,32,24
