date,OPF,OYds,OTO,OFL,O1stD,OAtt,OPYds,OTD,OInt,ONY/A,ORAtt,ORYds,ORTD,ORY/A,DPF,DYds,DTO,DFL,D1stD,DAtt,DPYds,DTD,DInt,DNY/A,DRAtt,DRYds,DRTD,DRY/A
1970-01-01,16,25,15,7,26,3,15,6,15,22,25,25,26,26,10,18,17,17,19,20,23,16,19,22,16,8,14,3
1971-01-01,25,24,23,17,25,3,22,19,23,26,24,23,24,15,12,23,3,4,15,17,23,8,11,19,25,20,15,16
1972-01-01,21,23,18,25,24,26,26,25,6,23,3,4,14,6,15,13,10,14,10,12,14,14,10,17,15,8,7,3
1973-01-01,24,26,23,26,24,20,25,24,11,26,15,15,16,18,20,17,12,3,21,4,6,19,21,12,25,25,22,24
1974-01-01,25,25,18,19,24,5,24,24,17,25,22,22,21,21,17,9,15,10,10,5,11,6,14,21,22,9,18,2
1975-01-01,24,24,18,13,26,17,24,23,17,23,22,22,21,21,25,17,23,17,20,20,18,22,23,19,19,17,25,8
1976-01-01,17,20,2,6,25,27,27,24,8,17,5,6,5,15,8,17,3,4,14,26,18,15,4,13,15,13,2,7
1977-01-01,13,3,15,20,10,25,21,20,11,12,4,1,6,1,19,22,19,16,17,22,19,1,20,17,19,20,18,18
1978-01-01,20,22,9,1,21,28,26,27,21,21,4,4,5,14,9,12,26,18,13,15,15,12,24,11,14,12,11,14
1979-01-01,18,24,2,4,24,26,26,20,6,20,2,5,11,15,3,6,6,22,8,11,5,15,2,6,9,9,2,9
1980-01-01,17,24,17,12,18,27,28,27,17,20,5,4,2,5,4,10,24,13,8,6,8,10,22,11,14,14,6,18
1981-01-01,27,26,13,9,24,15,27,26,16,28,3,11,17,25,14,19,12,4,7,20,14,18,18,12,17,20,9,19
1982-01-01,22,26,8,5,24,22,23,16,9,23,15,18,21,19,13,16,20,22,13,21,21,21,10,17,11,5,1,7
1983-01-01,20,6,8,7,17,23,17,16,11,10,5,1,20,2,5,8,15,13,4,10,12,1,19,10,9,11,22,15
1984-01-01,16,7,6,14,18,27,26,24,4,13,1,1,1,4,3,1,16,17,1,2,2,1,10,3,1,1,2,5
1985-01-01,2,7,4,9,6,26,20,22,6,4,1,1,1,5,1,1,1,5,1,18,3,3,1,2,1,1,1,6
1986-01-01,13,7,26,26,12,27,20,28,22,9,1,1,3,3,1,1,3,14,1,15,2,1,2,1,3,2,1,2
1987-01-01,9,12,27,23,5,14,12,11,25,17,13,13,12,12,4,2,28,24,3,24,7,17,25,1,3,1,1,1
1988-01-01,18,11,15,25,17,22,20,23,5,8,4,3,3,9,1,2,12,26,2,25,9,10,3,2,1,1,1,2
1989-01-01,10,10,25,19,15,19,19,12,23,14,7,2,2,4,20,25,8,21,25,23,24,14,4,20,10,15,27,23
1990-01-01,10,13,6,10,9,23,28,24,6,24,1,2,1,5,9,6,1,15,4,16,10,9,1,6,6,7,8,14
1991-01-01,14,11,17,18,6,16,13,14,15,14,6,9,4,15,9,4,17,18,5,16,8,18,14,5,5,10,10,18
1992-01-01,16,8,15,5,11,15,14,14,24,14,16,10,8,6,22,17,22,7,12,4,15,16,23,20,22,21,18,19
1993-01-01,24,28,11,16,28,28,28,28,13,26,7,19,15,25,3,4,14,18,14,13,3,2,12,2,19,17,10,15
1994-01-01,24,23,9,6,20,20,21,16,12,19,6,15,20,26,10,13,25,22,4,9,5,5,22,5,10,24,8,28
1995-01-01,8,9,8,22,8,21,12,4,1,2,6,9,11,15,22,19,18,15,19,24,27,23,17,24,8,5,5,5
1996-01-01,26,21,10,4,15,10,19,17,15,21,11,16,19,18,12,12,18,20,13,12,14,13,16,17,9,11,18,16
1997-01-01,28,17,27,28,10,3,15,26,25,26,7,16,12,24,29,12,11,2,10,4,11,25,21,20,8,19,27,27
1998-01-01,25,21,24,30,24,20,23,23,5,17,14,17,22,20,23,14,17,7,18,3,15,25,19,27,18,19,14,14
1999-01-01,25,8,27,22,12,1,3,6,27,19,25,26,31,23,20,29,10,3,23,27,29,21,23,25,18,23,16,28
2000-01-01,28,23,15,17,30,16,23,28,15,27,20,21,29,15,20,16,29,25,16,14,17,23,27,20,23,19,23,10
2001-01-01,11,26,6,3,22,15,24,12,13,24,7,17,12,27,1,15,5,4,9,31,29,1,9,13,3,2,2,4
2002-01-01,27,29,25,26,28,20,24,16,21,28,30,32,29,30,25,25,17,3,28,18,24,22,30,25,31,26,10,15
2003-01-01,23,28,17,7,26,17,30,30,24,32,18,18,16,19,22,14,28,32,15,23,13,16,14,13,15,16,17,17
2004-01-01,32,32,27,32,32,24,32,32,14,32,19,25,19,26,13,21,16,13,14,17,15,17,15,16,27,25,8,16
2005-01-01,26,29,17,17,31,30,31,30,14,30,9,8,17,7,1,2,6,23,4,26,5,1,2,1,18,11,4,9
2006-01-01,2,15,28,21,14,17,14,8,27,14,5,15,11,23,3,5,1,1,2,31,11,9,2,1,5,6,2,11
2007-01-01,18,27,23,19,27,10,15,20,28,23,19,30,25,32,16,28,8,4,20,19,27,8,17,22,20,24,29,24
2008-01-01,14,26,21,26,27,14,21,16,15,25,15,24,14,27,16,21,2,16,23,32,30,18,3,10,16,5,21,3
2009-01-01,19,23,29,3,25,8,17,10,30,19,29,29,29,26,21,17,12,1,24,16,13,28,22,15,25,23,18,18
2010-01-01,21,30,21,13,26,32,28,20,25,25,21,22,21,23,4,9,3,5,9,27,20,2,5,8,4,2,20,6
2011-01-01,17,24,23,16,28,27,26,24,25,23,9,9,21,10,14,17,5,7,9,31,28,13,6,13,6,5,6,10
2012-01-01,16,28,14,9,24,27,29,22,18,27,10,10,18,14,3,5,1,2,3,25,8,7,1,4,4,8,3,14
2013-01-01,2,8,13,16,8,16,5,5,13,5,24,16,17,7,30,30,13,21,28,2,15,14,8,27,30,32,31,32
2014-01-01,23,21,26,16,16,7,15,9,30,25,30,27,26,19,31,30,20,16,20,16,30,31,14,31,14,17,17,22
2015-01-01,23,21,13,15,21,25,23,23,11,13,6,11,12,19,20,14,28,16,10,5,4,25,30,18,21,23,8,26
2016-01-01,28,15,30,28,17,22,14,24,28,10,25,17,22,6,24,15,32,30,14,4,7,11,29,17,26,27,25,21
