date,OPF,OYds,OTO,OFL,O1stD,OAtt,OPYds,OTD,OInt,ONY/A,ORAtt,ORYds,ORTD,ORY/A,DPF,DYds,DTO,DFL,D1stD,DAtt,DPYds,DTD,DInt,DNY/A,DRAtt,DRYds,DRTD,DRY/A
1970-01-01,7,16,1,5,18,22,21,19,3,19,10,4,3,3,9,20,5,5,20,24,25,16,6,19,9,9,14,11
1971-01-01,11,6,1,4,9,13,14,10,2,18,14,6,9,3,9,12,11,20,7,5,13,22,3,15,10,13,10,11
1972-01-01,13,9,7,20,6,4,9,21,2,13,12,14,11,13,5,3,17,24,3,15,4,5,11,1,3,12,7,21
1973-01-01,11,5,2,8,6,13,8,7,3,3,10,7,12,6,11,8,10,14,10,15,13,3,11,11,7,8,17,8
1974-01-01,10,4,10,24,6,20,4,7,4,4,19,12,11,2,13,11,26,19,19,10,4,8,26,3,17,22,15,24
1975-01-01,9,2,8,22,4,6,1,4,4,2,13,17,6,23,6,7,2,3,7,14,2,3,10,3,6,18,12,24
1976-01-01,6,15,16,20,19,17,13,3,8,11,21,15,11,5,7,5,8,17,10,12,3,9,2,3,14,11,5,5
1977-01-01,14,13,12,16,9,5,7,18,6,10,18,18,18,16,16,21,9,2,20,14,23,12,21,24,17,13,21,9
1978-01-01,21,11,24,18,17,5,10,20,23,15,25,18,25,12,12,10,20,14,9,5,3,8,22,10,22,19,16,17
1979-01-01,13,23,2,6,20,20,24,18,3,25,14,11,7,9,28,28,5,1,26,24,27,27,17,28,13,16,20,19
1980-01-01,27,19,7,2,22,10,21,19,17,25,15,12,25,8,14,9,7,2,9,14,13,15,18,14,6,4,10,3
1981-01-01,3,2,1,2,3,5,3,2,1,3,18,17,7,17,12,12,16,12,21,25,22,20,16,10,3,9,8,16
1982-01-01,4,2,2,3,2,7,3,9,3,2,16,20,3,23,15,18,20,25,15,23,22,17,9,21,1,3,12,12
1983-01-01,16,14,6,9,7,21,14,25,5,7,8,16,2,19,6,1,13,17,1,16,3,3,12,2,3,2,18,2
1984-01-01,13,5,18,20,6,15,13,22,15,10,5,6,6,14,16,13,8,12,19,17,18,3,7,19,12,11,25,12
