date,OPF,OYds,OTO,OFL,O1stD,OAtt,OPYds,OTD,OInt,ONY/A,ORAtt,ORYds,ORTD,ORY/A,DPF,DYds,DTO,DFL,D1stD,DAtt,DPYds,DTD,DInt,DNY/A,DRAtt,DRYds,DRTD,DRY/A
1970-01-01,13,7,17,10,6,11,5,11,21,4,9,18,7,20,13,22,17,21,20,7,14,11,14,18,13,22,9,25
1971-01-01,10,18,21,17,13,11,9,14,21,11,15,20,3,24,10,17,8,10,14,6,4,8,8,10,18,23,15,24
1972-01-01,17,19,5,2,21,18,21,16,13,17,19,19,15,18,9,16,17,8,17,3,3,9,21,7,21,24,13,22
1973-01-01,18,23,17,16,22,19,23,20,18,25,13,13,14,16,13,11,26,25,4,5,9,17,25,14,18,15,5,14
1974-01-01,15,20,23,19,19,15,23,15,20,23,17,14,11,6,26,23,4,5,16,2,8,24,5,23,25,25,18,25
1975-01-01,22,21,14,8,16,5,21,25,17,25,23,14,13,6,24,19,25,12,18,7,23,23,26,23,18,15,21,5
1976-01-01,14,10,20,23,10,12,11,3,8,9,13,9,24,8,20,9,15,25,12,24,13,20,10,10,3,4,18,12
1977-01-01,12,9,28,26,3,8,10,4,27,14,13,8,21,3,22,20,9,11,23,12,13,18,9,18,16,19,18,20
1978-01-01,8,5,25,28,11,10,8,6,12,10,16,5,10,4,25,25,5,12,27,28,28,20,7,25,12,11,19,13
1979-01-01,9,3,23,13,1,4,6,3,26,12,18,14,15,3,20,24,25,14,17,16,19,4,23,20,23,27,27,26
1980-01-01,8,5,3,12,3,5,2,3,3,5,25,26,14,19,12,23,22,25,25,25,28,17,17,25,10,6,8,5
1981-01-01,24,4,28,28,2,3,4,12,23,15,23,20,21,13,23,16,19,9,12,4,15,25,27,25,15,18,10,15
1982-01-01,23,17,17,5,8,3,12,19,24,21,21,23,14,27,17,23,2,7,24,9,14,5,4,23,24,26,26,25
