Date,Unnamed: 1,Unnamed: 2,Opp
2017-09-10,L,,Atlanta Falcons
2017-09-17,L,@,Tampa Bay Buccaneers
2017-09-24,W,,Pittsburgh Steelers
2017-09-28,L,@,Green Bay Packers
2017-10-09,L,,Minnesota Vikings
2017-10-15,W,@,Baltimore Ravens
2017-10-22,W,,Carolina Panthers
2017-10-29,L,@,New Orleans Saints
2017-11-12,L,,Green Bay Packers
2017-11-19,L,,Detroit Lions
2017-11-26,L,@,Philadelphia Eagles
2017-12-03,L,,San Francisco 49ers
2017-12-10,W,@,Cincinnati Bengals
2017-12-16,L,@,Detroit Lions
2017-12-24,W,,Cleveland Browns
2017-12-31,L,@,Minnesota Vikings
