date,OPF,OYds,OTO,OFL,O1stD,OAtt,OPYds,OTD,OInt,ONY/A,ORAtt,ORYds,ORTD,ORY/A,DPF,DYds,DTO,DFL,D1stD,DAtt,DPYds,DTD,DInt,DNY/A,DRAtt,DRYds,DRTD,DRY/A
1970-01-01,10,4,7,5,11,24,16,9,8,3,1,1,3,4,4,4,5,12,6,21,3,2,5,2,8,10,9,16
1971-01-01,1,1,11,26,1,14,2,2,5,2,2,3,1,7,7,3,1,1,4,26,19,11,7,6,2,2,5,2
1972-01-01,10,6,21,14,5,14,8,12,19,10,10,8,6,9,6,6,12,6,5,24,19,16,18,12,5,1,2,2
1973-01-01,2,4,5,4,3,15,7,1,11,2,5,5,4,4,7,5,3,1,5,17,16,13,11,13,2,3,1,3
1974-01-01,8,1,10,22,1,11,3,12,7,11,6,1,2,1,10,4,20,14,2,9,14,20,24,17,4,2,5,1
1975-01-01,8,3,12,16,5,15,4,7,7,6,6,5,10,4,9,5,2,6,5,11,8,20,6,8,7,4,6,3
1976-01-01,10,4,4,10,7,8,6,9,5,5,12,12,9,17,5,7,20,24,13,22,7,8,16,4,7,6,8,6
1977-01-01,2,1,1,8,2,10,4,6,1,5,8,4,1,5,8,1,19,25,4,19,2,12,11,1,4,3,7,8
1978-01-01,1,2,7,15,2,8,3,3,4,4,5,3,3,3,3,2,23,26,2,14,5,4,11,2,1,1,8,5
1979-01-01,5,2,6,24,2,8,4,2,1,4,8,10,18,11,12,8,28,28,3,6,3,15,28,8,4,11,10,20
1980-01-01,1,9,17,12,2,24,14,3,17,7,3,6,1,9,13,17,2,3,9,13,16,12,5,16,6,18,14,26
1981-01-01,6,5,6,17,8,26,15,10,5,6,1,2,14,4,7,20,2,19,6,18,21,8,1,14,6,16,14,23
1982-01-01,5,5,23,26,6,23,9,4,18,4,9,5,10,1,3,11,7,11,9,18,11,8,7,9,9,13,2,17
1983-01-01,2,5,15,7,5,8,4,2,20,6,12,15,3,17,20,17,4,4,4,27,27,23,5,21,2,2,8,6
1984-01-01,18,11,25,20,8,3,6,17,23,21,20,20,19,23,9,7,3,10,4,19,5,16,5,2,16,24,1,23
1985-01-01,11,8,19,11,9,3,3,6,21,10,16,17,23,22,14,20,2,17,15,25,26,12,2,19,10,11,17,11
1986-01-01,14,6,20,18,5,9,12,13,20,17,22,11,3,5,18,10,17,8,9,4,3,11,20,5,19,23,21,25
1987-01-01,11,11,22,23,14,12,11,17,17,14,17,16,5,14,18,20,6,6,16,22,27,12,6,21,13,6,27,3
1988-01-01,21,9,25,10,12,7,7,10,26,16,18,16,23,5,25,20,28,26,11,19,24,27,28,19,9,13,8,16
1989-01-01,28,27,25,15,27,14,27,24,25,26,27,24,27,15,24,20,28,26,21,9,20,14,28,24,27,18,21,6
1990-01-01,26,28,17,2,25,14,27,28,26,27,22,23,14,22,15,10,16,2,14,11,2,2,25,2,20,18,23,15
1991-01-01,7,9,5,4,8,14,8,14,4,7,16,13,12,14,17,17,25,21,18,25,23,11,22,20,7,8,12,14
1992-01-01,2,4,4,2,4,12,5,5,6,3,4,5,2,9,5,1,18,13,1,16,5,8,17,4,1,1,11,3
1993-01-01,2,4,4,18,4,24,7,13,1,3,6,2,2,3,2,10,17,11,17,21,10,4,17,5,10,11,5,18
1994-01-01,2,8,5,6,6,26,12,16,5,2,1,5,1,19,3,1,13,24,3,9,1,8,4,1,12,10,3,9
