date,OPF,OYds,OTO,OFL,O1stD,OAtt,OPYds,OTD,OInt,ONY/A,ORAtt,ORYds,ORTD,ORY/A,DPF,DYds,DTO,DFL,D1stD,DAtt,DPYds,DTD,DInt,DNY/A,DRAtt,DRYds,DRTD,DRY/A
1970-01-01,6,8,16,10,5,5,3,4,15,5,21,23,19,23,7,9,14,24,11,26,21,11,4,4,3,6,2,10
1971-01-01,5,12,8,2,6,17,21,24,13,19,2,5,2,10,2,1,6,19,1,16,2,1,2,3,1,1,5,1
1972-01-01,20,14,15,25,7,7,11,14,3,14,17,17,21,12,11,20,7,17,14,5,20,12,7,24,20,15,17,8
1973-01-01,20,21,18,6,17,21,22,13,21,21,7,11,20,19,21,21,7,2,19,12,23,17,18,24,10,14,17,20
1974-01-01,23,15,18,10,13,2,18,23,20,22,18,16,13,11,25,14,25,10,12,4,15,18,25,25,21,17,24,12
1975-01-01,2,12,1,4,11,19,13,7,1,11,9,8,1,9,10,12,8,21,8,17,13,16,2,10,5,7,17,17
1976-01-01,1,1,2,15,3,15,1,2,1,1,7,7,2,16,13,15,14,6,9,15,22,16,18,17,2,7,5,20
1977-01-01,6,6,4,8,5,2,3,8,3,6,7,9,8,17,11,17,3,9,6,26,21,3,2,13,2,9,10,24
1978-01-01,27,24,23,10,25,20,24,10,23,24,24,23,28,17,28,28,20,7,18,3,25,28,24,28,27,27,24,26
1979-01-01,22,20,17,24,19,3,10,15,9,21,17,26,24,28,19,15,13,14,5,3,15,23,10,21,21,19,10,18
1980-01-01,9,13,12,8,6,11,13,11,13,14,11,11,4,12,23,21,16,6,24,12,21,12,22,23,25,22,23,15
1981-01-01,26,22,8,4,25,18,18,12,16,17,26,22,21,7,28,28,28,26,28,9,27,28,24,28,27,26,28,24
1982-01-01,28,27,11,22,26,14,24,27,8,28,10,14,25,20,26,26,28,25,27,4,15,27,27,27,28,28,21,26
1983-01-01,26,21,6,4,26,28,28,27,11,20,3,2,24,4,19,23,17,17,19,9,21,27,20,25,17,17,9,12
1984-01-01,28,28,16,14,28,26,28,28,15,27,9,12,15,15,25,22,22,17,26,15,22,26,18,22,27,17,18,4
1985-01-01,17,19,6,7,21,22,26,25,8,25,13,5,3,1,21,19,24,12,21,11,19,21,25,22,22,18,22,10
1986-01-01,27,22,24,24,23,3,16,21,20,24,27,26,20,21,25,25,17,2,23,14,26,26,22,27,22,17,15,12
1987-01-01,18,13,12,18,18,21,19,23,6,10,10,6,11,2,1,6,4,2,7,21,3,8,12,3,14,15,2,15
1988-01-01,9,21,6,1,12,26,24,20,21,13,5,4,4,11,11,17,12,3,20,24,25,16,23,22,8,8,10,8
1989-01-01,20,23,3,2,22,18,24,17,9,19,16,17,20,9,11,22,15,13,26,24,15,3,9,9,23,22,7,20
1990-01-01,21,27,11,4,26,12,16,10,20,25,27,27,25,20,20,26,26,13,27,15,23,11,27,22,25,24,12,20
1991-01-01,28,28,14,15,28,8,27,27,11,28,27,28,28,27,26,20,20,18,21,1,4,23,18,26,28,28,27,25
1992-01-01,26,24,20,7,18,4,8,25,27,20,25,28,21,28,16,21,8,9,26,13,11,5,10,14,26,26,24,24
1993-01-01,27,22,23,26,21,2,8,27,12,22,28,28,26,24,27,28,27,20,28,2,12,21,25,25,28,28,28,26
1994-01-01,18,27,16,24,28,28,28,25,5,21,4,4,5,3,14,20,18,22,21,27,24,21,10,10,19,12,3,7
1995-01-01,17,22,4,5,28,30,23,18,4,10,8,11,13,16,5,7,23,15,13,19,20,15,25,16,12,6,4,3
1996-01-01,16,25,2,14,21,15,16,23,1,18,23,28,19,23,18,22,26,22,17,15,23,23,23,27,18,18,14,17
1997-01-01,20,19,16,9,12,18,19,22,20,21,14,17,20,16,26,10,22,13,8,1,4,26,25,15,11,26,27,29
1998-01-01,19,12,21,2,11,1,6,8,29,11,29,26,25,17,29,29,28,15,30,4,16,25,30,26,29,29,27,30
1999-01-01,3,4,10,11,4,13,4,4,15,2,21,19,6,16,17,15,27,13,20,20,19,17,30,13,8,18,18,26
2000-01-01,4,3,15,20,3,8,2,2,9,2,16,16,12,9,15,21,25,27,21,14,18,16,23,18,20,25,16,23
2001-01-01,2,2,27,25,2,7,2,4,27,3,17,7,4,4,31,29,23,24,31,9,27,29,20,26,19,25,29,29
2002-01-01,17,9,22,15,9,5,4,3,22,5,16,26,18,29,7,8,18,5,5,3,2,9,26,14,20,20,20,22
2003-01-01,2,3,2,10,1,5,1,4,3,3,13,19,9,26,20,11,12,4,11,1,5,9,14,19,10,20,28,24
2004-01-01,1,2,2,2,2,15,1,1,2,1,20,15,19,11,19,29,3,2,29,30,28,22,9,23,15,24,13,30
2005-01-01,2,3,4,3,1,15,3,2,5,1,12,16,6,24,2,11,7,10,6,16,15,6,9,10,4,16,4,28
2006-01-01,2,3,4,10,1,6,2,1,2,1,18,18,6,16,23,21,21,17,28,2,2,5,20,13,31,32,30,32
2007-01-01,3,5,2,1,2,15,6,4,6,4,13,18,2,22,1,3,2,9,10,8,2,2,2,4,20,15,9,6
2008-01-01,13,15,3,2,7,5,5,6,9,9,30,31,19,32,7,11,13,13,20,9,6,1,11,9,26,24,24,17
2009-01-01,7,9,10,1,5,2,2,1,23,4,31,32,12,30,8,18,18,17,27,30,14,10,15,4,25,24,7,19
2010-01-01,4,4,12,6,1,1,1,2,18,8,28,29,12,27,23,20,28,13,21,17,13,9,30,16,22,25,20,25
2011-01-01,28,30,23,29,31,21,27,29,12,28,29,26,26,18,28,25,30,19,28,7,15,20,31,27,32,29,30,17
2012-01-01,18,10,23,15,4,6,7,16,26,18,14,22,18,26,21,26,30,32,20,9,21,15,20,21,17,29,21,31
2013-01-01,14,15,1,1,16,15,17,19,5,16,23,20,10,13,9,20,15,5,14,8,13,7,17,19,23,26,18,25
2014-01-01,6,3,29,31,3,1,1,1,19,5,17,22,24,25,19,11,10,2,9,11,12,20,21,17,16,18,21,23
2015-01-01,24,28,26,22,22,9,22,16,28,32,21,29,28,31,25,26,12,22,23,20,24,19,6,20,23,25,25,23
2016-01-01,8,10,16,7,5,13,5,6,18,11,16,23,16,22,22,30,26,17,27,19,27,20,29,25,15,25,13,30
2017-01-01,30,31,4,7,30,30,30,31,6,29,10,22,19,28,30,30,20,19,23,5,28,15,15,32,30,26,27,9
2018-01-01,5,7,22,15,6,2,6,2,22,9,17,20,16,22,10,11,10,7,11,14,16,3,9,20,16,8,10,6
